Summary

Total Wins:  [10877, 16180, 15845, 16433, 14703, 16483, 15822, 16523, 15968, 15527, 13891, 16364, 15852, 15370, 15888, 16616, 16557, 15713, 15452, 15631, 16375, 14000, 15232, 15842, 16304, 15893, 16519, 14943, 16247, 15923, 16225, 10802]
Worst Competitor:  [16, 16, 1, 1, 2, 2, 3, 3, 20, 20, 5, 5, 22, 6, 7, 7, 24, 24, 25, 9, 26, 26, 11, 11, 28, 28, 29, 29, 30, 30, 15, 15]
Wins vs. Worst:  [33, 61, 303, 328, 333, 350, 332, 337, 318, 286, 232, 257, 339, 286, 312, 329, 324, 339, 305, 314, 244, 250, 287, 274, 334, 330, 327, 322, 292, 337, 64, 24]

Matchups

['0', '0', '1', '0', '0']  vs.  ['0', '1', '0', '0', '1']  Result:  555 - 445 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '1', '0', '1', '0']  Result:  545 - 455 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '1', '0', '1', '1']  Result:  443 - 557 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '1', '1', '0', '0']  Result:  409 - 591 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '1', '1', '0', '1']  Result:  496 - 504 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '1', '1', '1', '0']  Result:  461 - 539 - 0
['0', '0', '1', '0', '0']  vs.  ['0', '1', '1', '1', '1']  Result:  484 - 516 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '0', '0', '0', '0']  Result:  443 - 557 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '0', '0', '0', '1']  Result:  478 - 522 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '0', '0', '1', '0']  Result:  355 - 645 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '0', '0', '1', '1']  Result:  552 - 448 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '0', '1', '0', '0']  Result:  405 - 595 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '0', '1', '0', '1']  Result:  529 - 471 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '0', '1', '1', '0']  Result:  476 - 524 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '0', '1', '1', '1']  Result:  483 - 517 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '1', '0', '0', '0']  Result:  400 - 600 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '1', '0', '0', '1']  Result:  373 - 627 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '1', '0', '1', '0']  Result:  405 - 595 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '1', '0', '1', '1']  Result:  496 - 504 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '1', '1', '0', '0']  Result:  420 - 580 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '1', '1', '0', '1']  Result:  470 - 530 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '1', '1', '1', '0']  Result:  432 - 568 - 0
['0', '0', '1', '0', '0']  vs.  ['1', '1', '1', '1', '1']  Result:  639 - 361 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '0', '1', '1', '0']  Result:  508 - 492 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '0', '1', '1', '1']  Result:  486 - 514 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '1', '0', '0', '0']  Result:  492 - 508 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '1', '0', '0', '1']  Result:  513 - 487 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '1', '0', '1', '0']  Result:  768 - 232 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '1', '0', '1', '1']  Result:  743 - 257 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '1', '1', '0', '0']  Result:  507 - 493 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '1', '1', '0', '1']  Result:  551 - 449 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '1', '1', '1', '0']  Result:  549 - 451 - 0
['0', '0', '1', '0', '1']  vs.  ['0', '1', '1', '1', '1']  Result:  518 - 482 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '0', '0', '0', '0']  Result:  477 - 523 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '0', '0', '0', '1']  Result:  475 - 525 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '0', '0', '1', '0']  Result:  369 - 631 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '0', '0', '1', '1']  Result:  517 - 483 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '0', '1', '0', '0']  Result:  560 - 440 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '0', '1', '0', '1']  Result:  676 - 324 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '0', '1', '1', '0']  Result:  591 - 409 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '0', '1', '1', '1']  Result:  607 - 393 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '1', '0', '0', '0']  Result:  475 - 525 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '1', '0', '0', '1']  Result:  472 - 528 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '1', '0', '1', '0']  Result:  493 - 507 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '1', '0', '1', '1']  Result:  567 - 433 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '1', '1', '0', '0']  Result:  467 - 533 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '1', '1', '0', '1']  Result:  531 - 469 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '1', '1', '1', '0']  Result:  479 - 521 - 0
['0', '0', '1', '0', '1']  vs.  ['1', '1', '1', '1', '1']  Result:  675 - 325 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '0', '1', '1', '1']  Result:  512 - 488 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '1', '0', '0', '0']  Result:  456 - 544 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '1', '0', '0', '1']  Result:  456 - 544 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '1', '0', '1', '0']  Result:  532 - 468 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '1', '0', '1', '1']  Result:  503 - 497 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '1', '1', '0', '0']  Result:  636 - 364 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '1', '1', '0', '1']  Result:  714 - 286 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '1', '1', '1', '0']  Result:  457 - 543 - 0
['0', '0', '1', '1', '0']  vs.  ['0', '1', '1', '1', '1']  Result:  483 - 517 - 0
