Summary

Total Wins:  [107988, 162212, 158256, 163513, 148344, 164440, 158836, 164882, 158724, 153179, 139874, 164203, 158361, 153440, 158134, 166728, 165760, 158441, 153692, 158263, 163938, 139995, 153317, 158933, 164092, 157776, 163866, 148047, 163549, 158157, 162796, 108264]
Worst Competitor:  [16, 16, 1, 1, 2, 2, 3, 3, 20, 20, 5, 5, 22, 6, 7, 7, 24, 24, 25, 9, 26, 26, 11, 11, 28, 28, 29, 29, 30, 30, 15, 15]
Wins vs. Worst:  [329, 643, 3286, 3330, 3427, 3286, 3387, 3389, 2913, 2892, 2353, 2648, 3542, 3042, 3325, 3328, 3365, 3319, 3134, 3451, 2730, 2260, 2986, 2863, 3303, 3340, 3322, 3394, 3302, 3327, 640, 292]

Matchups

['0', '0', '1', '1', '0']  vs.  ['1', '0', '0', '1', '0']  Result:  5276 - 4724 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '0', '0', '1', '1']  Result:  3824 - 6176 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '0', '1', '0', '0']  Result:  4641 - 5359 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '0', '1', '0', '1']  Result:  5782 - 4218 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '0', '1', '1', '0']  Result:  5303 - 4697 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '0', '1', '1', '1']  Result:  5232 - 4768 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '1', '0', '0', '0']  Result:  5032 - 4968 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '1', '0', '0', '1']  Result:  5029 - 4971 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '1', '0', '1', '0']  Result:  5379 - 4621 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '1', '0', '1', '1']  Result:  5983 - 4017 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '1', '1', '0', '0']  Result:  4324 - 5676 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '1', '1', '0', '1']  Result:  5042 - 4958 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '1', '1', '1', '0']  Result:  4716 - 5284 - 0
['0', '0', '1', '1', '0']  vs.  ['1', '1', '1', '1', '1']  Result:  6360 - 3640 - 0
['0', '0', '1', '1', '1']  vs.  ['0', '1', '0', '0', '0']  Result:  4643 - 5357 - 0
['0', '0', '1', '1', '1']  vs.  ['0', '1', '0', '0', '1']  Result:  4622 - 5378 - 0
['0', '0', '1', '1', '1']  vs.  ['0', '1', '0', '1', '0']  Result:  5619 - 4381 - 0
['0', '0', '1', '1', '1']  vs.  ['0', '1', '0', '1', '1']  Result:  4991 - 5009 - 0
['0', '0', '1', '1', '1']  vs.  ['0', '1', '1', '0', '0']  Result:  4766 - 5234 - 0
['0', '0', '1', '1', '1']  vs.  ['0', '1', '1', '0', '1']  Result:  5290 - 4710 - 0
['0', '0', '1', '1', '1']  vs.  ['0', '1', '1', '1', '0']  Result:  6675 - 3325 - 0
['0', '0', '1', '1', '1']  vs.  ['0', '1', '1', '1', '1']  Result:  6672 - 3328 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '0', '0', '0', '0']  Result:  4622 - 5378 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '0', '0', '0', '1']  Result:  4742 - 5258 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '0', '0', '1', '0']  Result:  5393 - 4607 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '0', '0', '1', '1']  Result:  3835 - 6165 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '0', '1', '0', '0']  Result:  4805 - 5195 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '0', '1', '0', '1']  Result:  5856 - 4144 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '0', '1', '1', '0']  Result:  5337 - 4663 - 0
['0', '0', '1', '1', '1']  vs.  ['1', '0', '1', '1', '1']  Result:  5364 - 4636 - 0
